id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
3617,碩天,1209.00 ,1041.00 ,936.00 ,841.00 ,0.33 ,0,0.00 
3622,洋華,1168.00 ,1036.00 ,832.00 ,699.00 ,0.22 ,0,0.00 
3645,達邁,983.00 ,845.00 ,827.00 ,755.00 ,0.18 ,0,0.00 
3652,精聯,1062.00 ,921.00 ,808.00 ,730.00 ,0.25 ,3,0.01 
3653,健策,945.00 ,853.00 ,727.00 ,612.00 ,0.23 ,13,0.01 
3661,世芯-KY,N/A,N/A,N/A,N/A,0.16 ,0,0.00 
3665,貿聯-KY,N/A,N/A,N/A,N/A,0.34 ,70,0.00 
3669,圓展,1157.00 ,1006.00 ,953.00 ,773.00 ,0.15 ,0,0.00 
3673,TPK-KY,N/A,N/A,N/A,N/A,0.25 ,26,0.00 
3679,新至陞,1750.00 ,1555.00 ,649.00 ,615.00 ,0.33 ,6,0.00 
3686,達能,1379.00 ,1204.00 ,780.00 ,622.00 ,0.20 ,0,0.00 
3694,海華,1282.00 ,1144.00 ,1003.00 ,912.00 ,0.02 ,0,0.00 
3701,大眾控,2962.00 ,2776.00 ,902.00 ,750.00 ,0.17 ,0,0.00 
3702,大聯大,2848.00 ,2586.00 ,1714.00 ,1484.00 ,0.37 ,0,0.00 
3703,欣陸,2069.00 ,1475.00 ,768.00 ,707.00 ,0.08 ,1,0.00 
3704,合勤控,1648.00 ,1446.00 ,1078.00 ,895.00 ,0.29 ,0,0.00 
3705,永信,1964.00 ,1667.00 ,772.00 ,674.00 ,0.67 ,0,0.00 
3706,神達,2650.00 ,2650.00 ,1147.00 ,1001.00 ,0.28 ,1,0.00 
3708,上緯投控,1523.00 ,1340.00 ,758.00 ,620.00 ,0.27 ,0,0.00 
3711,日月光投控,4584.00 ,3674.00 ,915.00 ,726.00 ,0.52 ,0,0.00 
3712,永崴投控,2875.00 ,2818.00 ,970.00 ,849.00 ,0.33 ,0,0.00 
3714,富采,2782.00 ,2575.00 ,883.00 ,720.00 ,0.25 ,0,0.00 
4104,佳醫,1159.00 ,999.00 ,893.00 ,756.00 ,0.34 ,0,0.00 
4106,雃博,995.00 ,843.00 ,732.00 ,631.00 ,0.19 ,13,0.05 
