代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
2496,0,1,0,0,0,0,0,0,0,0
2497,1,1,0,0,0,0,0,0,1,0
2498,0,1,0,0,0,0,0,0,0,0
2501,0,1,1,1,0,1,0,0,0,0
2504,0,1,0,0,0,0,0,0,0,0
2505,1,1,0,0,0,0,0,0,0,0
2506,1,1,0,0,0,0,0,0,0,0
2509,1,1,0,0,0,0,0,0,0,0
2511,1,1,0,0,0,0,0,0,0,0
2514,1,1,0,0,0,0,0,0,0,0
2515,0,0,0,0,0,0,0,0,0,0
2516,0,1,0,0,0,0,1,0,0,0
2520,1,1,0,0,0,1,1,0,0,1
2524,0,1,0,0,0,0,0,0,0,0
2527,0,1,0,0,0,0,0,0,0,0
2528,1,1,0,0,0,1,0,0,1,0
2530,0,1,0,0,0,0,0,0,0,0
2534,0,1,0,0,0,0,1,0,0,0
2535,1,1,1,1,0,1,0,0,0,0
2536,0,1,1,0,0,0,0,0,1,0
2537,1,1,0,0,0,0,0,0,0,0
2538,1,1,1,0,0,0,1,0,0,0
2539,1,1,0,0,0,0,1,0,0,0
2540,0,1,0,0,0,0,1,0,1,1
2542,0,0,0,0,0,0,0,0,0,0
2543,0,1,0,0,0,0,0,0,0,0
2545,0,1,1,0,0,0,0,0,0,0
2546,0,1,0,0,0,0,0,0,0,0
2547,1,1,0,0,0,1,0,0,0,0
2548,1,1,1,0,0,0,1,1,0,0
2597,1,1,0,0,0,0,1,0,0,0
2601,0,1,0,0,0,0,0,0,0,0
2603,0,1,1,0,0,0,0,0,0,0
2605,0,1,0,0,0,0,0,0,0,0
2606,0,1,1,0,0,0,1,1,0,0
2607,0,0,1,0,0,0,0,0,0,0
2608,0,1,0,0,0,0,0,0,0,0
2609,1,1,1,0,0,0,0,0,0,0
2610,1,1,0,0,0,0,0,1,0,0
2611,0,1,0,0,0,0,0,0,0,0
2612,0,1,0,0,0,0,0,0,0,0
2613,0,1,0,0,0,0,0,0,0,0
2614,1,1,0,0,0,0,1,0,0,0
2615,0,1,0,0,0,0,0,0,0,0
2616,0,0,0,0,0,0,0,0,0,0
2617,1,1,0,0,0,1,0,0,0,0
